No.,d,g_y,d_pixel,
1064,1.9,320,398,
1065,1.9,320,386,
1066,1.8,320,370,
1067,1.8,320,525,
1068,1.8,320,383,
1069,1.9,320,396,
1070,1.9,320,411,
1071,1.9,319,501,
1072,1.8,319,528,
1073,2.0,319,404,
1085,2.2,334,454,
1086,2.3,320,465,
1087,2.2,319,446,
1088,2.4,321,482,
1089,2.3,320,473,
1090,2.4,319,486,
1091,2.3,320,468,
1092,2.2,319,468,
1094,2.5,319,527,
1095,2.3,320,475,
1096,2.2,329,466,
1097,2.3,319,578,
1098,2.2,332,448,
1099,2.2,319,486,
1100,2.4,318,542,
1101,2.2,320,440,
1102,2.3,320,480,
1103,1.8,319,388,
1104,1.8,325,354,
1105,1.9,320,361,
1106,1.8,320,346,
1107,2.0,320,424,
1108,2.0,320,425,
1109,1.9,319,536,
1110,2.0,319,403,
1111,2.0,320,403,
1112,1.9,320,488,
1113,2.0,320,434,
1114,1.9,319,510,
1115,1.8,319,500,
1116,1.8,304,497,
1117,1.7,316,494,
1118,1.7,318,411,
1121,2.2,335,510,
1122,2.3,320,468,
1123,2.3,319,503,
1124,2.4,320,479,
1125,2.3,322,449,
1126,2.2,334,466,
1127,2.3,320,474,
1129,1.8,320,632,
1131,1.7,322,491,
1132,1.8,320,454,
1133,1.8,322,621,
1134,1.7,335,470,
1135,1.8,323,475,
1137,2.5,320,514,
1138,2.5,319,501,
1139,2.8,320,528,
1140,2.7,319,533,
1142,2.6,319,518,
1143,2.8,319,560,
1144,2.4,318,490,
1145,2.6,320,521,
1146,2.7,321,525,
1147,2.7,320,525,
1148,2.7,319,543,
1149,2.7,320,527,
1150,2.4,319,492,
1151,2.7,319,541,
1152,2.6,320,515,
1153,2.5,320,503,
1154,2.8,319,547,
1155,2.7,320,533,
1156,2.4,319,480,
1157,2.4,320,534,
1158,2.6,319,518,
1159,2.5,319,493,
1160,2.6,320,523,
1161,2.4,323,494,
1162,2.7,321,524,
1163,2.6,319,516,
1164,2.5,320,488,
1165,2.7,320,535,
1166,2.5,319,621,
1167,2.6,320,519,
1168,2.8,319,551,
1169,2.4,319,500,
1170,2.8,319,553,
1171,2.6,320,514,
1172,2.6,320,513,
1173,2.7,331,528,
1174,2.6,320,517,
1175,2.6,319,519,
1176,2.6,320,516,
1177,2.7,320,526,
1178,2.7,319,538,
